,0
0,Alabama
1,Arizona
2,Hawaii
3,Louisiana
4,Massachusetts
5,Mississippi
6,New Hampshire
7,New Jersey
8,North Carolina
9,North Dakota
10,Ohio
11,Oklahoma
12,Rhode Island
13,South Carolina
14,South Dakota
